code,meigara,kana,kuramoto,ken,shi,address,meigara_2,yomi,syurui,gennryoumai,seimaibuai,siyoukoubo,nihonnsyudo,sando,aminosanndo,amakarado,noutanndo,arukouru
20,鳩正宗,はとまさむね,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2,鳩正宗  大吟醸 吟麗,,大吟醸,山田錦,35%,,+3,1.3,,-0.2,-0.71,17%
20,鳩正宗,はとまさむね,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2,鳩正宗  Crystal of snow,,特別純米酒 白麹仕込,華吹雪,55%,,-2,2.2,,-0.78,+1.21,14%
20,鳩正宗,はとまさむね,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2,鳩正宗  青ラベル,,普通酒,まっしぐら,70%,,±0,1.4,,-0.03,-0.39,15%
1664,玉垂,たまだれ,中村亀吉,青森県,黒石市,青森県黒石市中町12,玉垂  あどはだり,,純米酒  生 原酒,,,,,,,,,,しぼりだでッコ
1665,亀吉,かめきち,中村亀吉,青森県,黒石市,青森県黒石市中町12,亀吉  純米大吟醸 亀の尾,,純米大吟醸,亀の尾,50%,,,,,,,15～16%
1665,亀吉,かめきち,中村亀吉,青森県,黒石市,青森県黒石市中町12,亀吉  吟醸,,吟醸,華想い,55%,,+3,1.4,,-0.31,-0.52,16～17%
1665,亀吉,かめきち,中村亀吉,青森県,黒石市,青森県黒石市中町12,亀吉  特別純米酒,,特別純米酒,華吹雪、むつほまれ,60%,,+5,1.4,,-0.5,-0.61,15～16%
19,菊乃井,きくのい,鳴海醸造店,青森県,黒石市,青森県黒石市大字中町1-1,菊乃井  大吟醸,,大吟醸,,40%,,+5,1.4,,-0.5,-0.61,
19,菊乃井,きくのい,鳴海醸造店,青森県,黒石市,青森県黒石市大字中町1-1,菊乃井  特別純米酒 華吹雪,,純米吟醸,,50%,,+5.5,1.6,,-0.78,-0.26,
3576,稲村屋,いなむらや,鳴海醸造店,青森県,黒石市,青森県黒石市大字中町1-1,稲村屋  稲村屋文四郎,,純米大吟醸,山田錦,40%,,,,,,,
3576,稲村屋,いなむらや,鳴海醸造店,青森県,黒石市,青森県黒石市大字中町1-1,稲村屋  特別純米酒,,特別純米酒,,60%,,,,,,,16%
1266,初駒,はつこま,佐藤酒造（青森県）,青森県,黒石市,青森県黒石市,初駒  純米 無濾過 生原酒,,純米 生原酒,華吹雪,60%,協会10号,+4.0,1.8,,-0.87,+0.18,18.4%
10,掬水,きくすい,佐藤酒造店（青森県）,青森県,弘前市,青森県弘前市鳥井野字宮本31-1,掬水  大吟醸,,大吟醸,,35%,,+4,1.2,,-0.17,-0.95,
2067,津軽衆,つがるしゅう,丸竹酒造店,青森県,弘前市,青森県弘前市大字国吉字坂本49,津軽衆  純米吟醸,,純米吟醸,,,,,,,,,
14,白神ロマンの宴,しらかみろまんのうたげ,丸竹酒造店,青森県,弘前市,青森県弘前市大字国吉字坂本49,白神ロマンの宴  純米吟醸,,純米吟醸,華吹雪,55%,,+2～+3,1.5,,,,15.5
155,大輪菊盛,だいりんきくもり,丸竹酒造店,青森県,弘前市,青森県弘前市大字国吉字坂本49,大輪菊盛  原酒,,,むつほまれ,65%,,-9,,2.1,,,21.9
2852,西澤,にしざわ,白神酒造（青森県）,青森県,弘前市,青森県弘前市米ヶ袋村元22,西澤  山廃純米 原酒,,山廃純米 原酒,青森県産米,65%,,+2.0,,,,,18%
13,じょっぱり,じょっぱり,六花酒造,青森県,弘前市,青森県弘前市向外瀬豊田217,じょっぱり  大吟醸,,大吟醸,華吹雪,40%,,+3.0,1.2,,-0.08,-0.9,15～16%
13,じょっぱり,じょっぱり,六花酒造,青森県,弘前市,青森県弘前市向外瀬豊田217,じょっぱり  吟醸 みつをボトル,,吟醸,華吹雪,50%,,+5.0,1.1,,-0.15,-1.18,15～16%
13,じょっぱり,じょっぱり,六花酒造,青森県,弘前市,青森県弘前市向外瀬豊田217,じょっぱり  純米酒,,純米酒,むつほまれ,65%,,+3.0, 1.6,2.0,-0.54,-0.15,15～16%
2757,龍飛,たっぴ,六花酒造,青森県,弘前市,青森県弘前市向外瀬豊田217,龍飛  特別純米酒,,特別純米酒,華吹雪,55%,まほろば華酵母,±0,1.3,,+0.08,-0.58,15～16%
3569,荒馬,あらま,六花酒造,青森県,弘前市,青森県弘前市向外瀬豊田217,荒馬  本醸造 大川平荒馬,,本醸造,華吹雪,,,,,,,,
3566,蟹田,かにた,カネタ玉田酒造店,青森県,弘前市,青森県弘前市茂森町81,蟹田  純米吟醸 原酒,,純米吟醸 原酒,まっしぐら,55%,,,,,,,17～18%
1098,豊盃,ほうはい,三浦酒造（青森県）,青森県,弘前市,青森県弘前市石渡5-1-1,豊盃  つるし酒 大吟醸,,大吟醸,山田錦,40%,,+3,1.5,1.4,-0.43,-0.34,16～17%
1098,豊盃,ほうはい,三浦酒造（青森県）,青森県,弘前市,青森県弘前市石渡5-1-1,豊盃  純米吟醸 亀翔,,純米吟醸,亀の尾,55%,K901,+3,1.3,1.3,-0.2,-0.71,17～18%
1098,豊盃,ほうはい,三浦酒造（青森県）,青森県,弘前市,青森県弘前市石渡5-1-1,豊盃  純米大吟醸 いまが花よ,,純米大吟醸,華吹雪,40%,K1501号,+1,1.5,1.3,-0.24,-0.25,15～16%
1098,豊盃,ほうはい,三浦酒造（青森県）,青森県,弘前市,青森県弘前市石渡5-1-1,豊盃  純米吟醸 美郷錦55,,純米吟醸,美郷錦,55%,,±0～+1,1.9,1.2,,,
1098,豊盃,ほうはい,三浦酒造（青森県）,青森県,弘前市,青森県弘前市石渡5-1-1,豊盃  純米吟醸 豊盃米55,,純米吟醸,豊盃米,55%,,±0,1.9,,-0.61,+0.55,15～16%
1098,豊盃,ほうはい,三浦酒造（青森県）,青森県,弘前市,青森県弘前市石渡5-1-1,豊盃  特別純米酒 ひやおろし,,特別純米酒,豊盃米,55%、60%,アルプス酵母,-1,2.2,,-0.87,+1.16,16～17%
1098,豊盃,ほうはい,三浦酒造（青森県）,青森県,弘前市,青森県弘前市石渡5-1-1,豊盃  かんして美味しいお酒,,,華吹雪,60%,K9号,+5,1.4,1.3,-0.5,-0.61,15～16%
1098,豊盃,ほうはい,三浦酒造（青森県）,青森県,弘前市,青森県弘前市石渡5-1-1,豊盃  ん おりがらみ,,,華吹雪、むつほまれ,60%、65%,K901,+4,1.5,,-0.52,-0.38,15～16%
12,松緑,まつみどり,齋藤酒造店,青森県,弘前市,青森県弘前市駒越町58,松緑  麗峰,,大吟醸,,50%,,+3～+4,1.0～1.1,,,,
17,明ケ烏,あけがらす,長内酒造店,青森県,つがる市,青森県つがる市,明ケ烏  太宰の里,,冷おろし原酒,,70%,,-4,1.6,,+0.11,+0.17,,太宰治のふるさと北津軽軍金木町でとれる酒米を使用しています。
17,明ケ烏,あけがらす,長内酒造店,青森県,つがる市,青森県つがる市,明ケ烏  津軽七雪,,純米酒,,60%,,+4,1.6,,-0.64,-0.19,
1538,外ヶ濱,そとがはま,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46,外ヶ濱  特別純米生原酒 にごり酒,,特別純米酒 生原酒,華吹雪,55%,,,,,,,18～19%
11,田酒,でんしゅ,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46,田酒  純米大吟醸 斗壜取,,純米大吟醸,山田錦,40%,,+2,1.3,,-0.1,-0.67,16.8%
11,田酒,でんしゅ,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46,田酒  純米大吟醸,,純米大吟醸,山田錦,40%,協会9号,+2,1.3,,-0.1,-0.67,16.8%
11,田酒,でんしゅ,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46,田酒  純米吟醸,,純米吟醸,山田錦,麹45%、掛50%,,+3,1.5,,-0.43,-0.34,16.8%
11,田酒,でんしゅ,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46,田酒  純米吟醸 古城乃錦,,純米吟醸,古城錦,50%,,+3,1.5,,-0.43,-0.34,15.6%
11,田酒,でんしゅ,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46,田酒  特別純米酒,,特別純米酒,華吹雪,55%,協会9号,+3,1.5,,-0.43,-0.34,15.6%
3533,善知鳥,うとう,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46,善知鳥  百四拾,,大吟醸,華想い,,,,,,,,
152,喜久泉,きくいずみ,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46,喜久泉  大吟醸 斗壜取,,大吟醸,山田錦,40%,,+3,1.3,,-0.2,-0.71,16.5%
152,喜久泉,きくいずみ,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46,喜久泉  吟醸,,吟醸,華吹雪,50%,,+3,1.3,,-0.2,-0.71,15.5%
152,喜久泉,きくいずみ,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46,喜久泉  特別本醸造 生貯蔵,,特別本醸造,華吹雪,60%,,+3,1.4,,-0.31,-0.52,14.5%
16,安東水軍,あんどうすいぐん,尾崎酒造（青森県）,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30,安東水軍  大吟醸,,大吟醸,五百万石,50%,,+5,1.1,,-0.15,-1.18,15.8%
16,安東水軍,あんどうすいぐん,尾崎酒造（青森県）,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30,安東水軍  特別純米酒,,特別純米酒,華吹雪・むつほまれ,60%,,+3.5,1.5,,-0.47,-0.36,15.3%
3568,白神山地の湧き水で仕込んだお酒,しらかみさんちのわきみずでしこんだおさけ,尾崎酒造（青森県）,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30,白神山地の湧き水で仕込んだお酒  本醸造,,本醸造,むつほまれ,70%,,+4.0,1.0,,+0.06,-1.32,14.8%
15,岩木正宗,いわきまさむね,竹浪酒造店,青森県,北津軽郡,青森県北津軽郡板柳町板柳字土井113-1,岩木正宗  奥津軽,,純米大吟醸,山田錦,50%,,+3,1.3,,-0.2,-0.71,15～16%
160,稲川（青森県）,いながわ,八戸酒類 第二工場,青森県,三戸郡,青森県第二工場〒039-1202 青森県,稲川  臥牛おろし,,本醸造,むつほまれ,60%,,+3,1.4,,-0.31,-0.52,
162,菊駒（旧）,きくこま,八戸酒類 五戸工場,青森県,三戸郡,青森県五戸工場〒039-1554 青森県,菊駒  純米大吟醸,,純米大吟醸,華想い,50%,,+3,1.6,1.8,-0.54,-0.15,16～17%
162,菊駒（旧）,きくこま,八戸酒類 五戸工場,青森県,三戸郡,青森県五戸工場〒039-1554 青森県,菊駒  純米吟醸,,純米吟醸,山田錦,50%,,,,,,,16～17%
